pH,Conc(mM),ApproT1(sec),Temp,SatPower(uT),SatTime(ms),100,12,11,10,9,8,7.8,7.6,7.2,7,6.8,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,-0.2,-0.4,-0.6,-0.8,-1,-1.2,-1.4,-1.6,-1.8,-2,-2.3,-2.5,-2.8,-3,-6,-9,-10,-11,-12
6.23,5.19,3.4,32,1,3002.4,22599,20261,19816,20225,20473,19999,19696,20070,20651,20308,19878,19918,20359,20339,19826,19668,20077,20554,19914,19628,20362,20390,20068,19755,19904,20348,20001,19495,20060,20337,20378,19717,19658,20327,20156,19780,19686,20142,20246,19847,19674,20133,20231,19843,19577,19842,19899,19565,19315,18899,19039,18497,17395,15996,13204,7985.2,5009.7,8443.3,13957,16996,17847,18675,19277,19550,19499,19529,19875,20143,19926,19806,20094,20410,20034,19834,20015,20424,20365,19955,19937,20385,20679
6.42,5.15,3.4,32,1,3002.4,25088,23173,22316,22154,22782,23012,22614,22094,22493,22926,22592,22068,22269,22920,22650,22190,22062,22719,22733,22088,21967,22527,22834,22132,21854,22665,23061,22257,21866,22243,22977,22317,22102,22197,22927,22342,21681,22147,22489,22591,22107,21630,22453,22589,21763,21365,21939,22055,21422,20669,20306,19682,17556,13383,6051.5,5980.3,12539,16918,19009,20486,20987,20973,21337,22115,22213,22024,21838,22640,22684,22246,21938,22725,22830,22288,22032,22376,23212,22515,22207,22401,23015
6.56,5.18,3.4,32,1,3002.4,25172,23315,23327,22702,22545,23030,23239,22657,22318,22839,23093,22776,22182,22720,23465,22901,22362,22606,23203,22846,22441,22280,22946,22899,22361,22237,22978,23114,22483,22321,22875,23289,22737,22429,22783,23264,22498,22357,22731,22879,22588,22169,22321,22698,22452,21909,21787,22302,22056,21273,20274,19753,18016,13690,6302.6,6579.2,12348,16939,19199,20545,21374,21674,21685,22247,22523,22446,22253,22595,22794,22950,22521,22554,22951,22906,22666,22422,23107,23258,22730,22795,22781
6.72,5.13,3.4,32,1,3002.4,24324,21523,21699,21803,21740,21361,21140,21603,21580,21349,21296,21514,21669,21531,21486,21583,21806,21578,21185,21121,21670,21458,20765,21281,21654,21500,21358,21111,21669,21822,21340,21363,21402,21819,21394,21386,21372,21689,21549,20956,21218,21642,21585,20920,21016,21257,20964,20578,20644,20564,19583,18522,16662,12534,5900.4,6667.4,12635,17033,19097,19778,20283,20804,21183,21109,20841,21299,21377,21440,21461,21540,21819,21708,21184,21227,21506,21860,21406,21365,21340,22115,21612
6.86,5.1,3.4,32,1,3002.4,21949,19810,19998,20042,19974,19683,19932,20018,19625,19474,19704,19783,19786,19730,19561,19721,19904,19702,19620,19632,19699,19531,19171,19586,19529,19344,19354,19715,19688,19708,19296,19660,19697,19771,19593,19598,19846,19707,19679,19451,19860,19840,19445,19427,19845,19742,19324,19052,19362,19197,19014,18145,17373,15761,11855,6309.1,5724,10811,15548,17332,18166,18756,19237,19368,19420,19593,19813,19465,19385,19606,19736,19777,19876,19914,19891,19877,19716,19925,19798,20054,19666
7.05,5.1,3.4,32,1,3002.4,23497,21193,20615,20714,21223,20988,20429,20566,21160,21024,20545,20629,21054,21255,20579,20516,20802,21016,20592,20154,20867,20962,20733,20501,20634,21027,20908,20184,20298,20811,20718,20126,20019,20660,20720,20268,20309,20710,20848,20454,20336,20762,20877,20592,20470,20593,20878,20628,20389,20309,20365,20324,19944,19682,19498,18896,17739,16189,13043,6042.2,3338.9,10999,15839,17772,18738,19034,19684,20394,20306,20144,20506,20734,20651,20481,20498,20995,21010,20688,20537,21133,21247
7.14,5.13,3.4,32,1,3002.4,25247,23139,22371,22172,22629,22994,22659,22121,22651,22832,22632,22085,22544,22797,22526,22225,22256,22749,22590,22238,22133,22677,22864,22134,22077,22626,22723,22148,21685,21971,22242,22022,21955,22399,22816,22426,21899,22139,22480,22526,22158,22035,22534,22668,22070,21954,22407,22496,22009,21655,21730,21784,21336,20764,20157,19231,17203,13339,5270.9,3765.8,12192,16864,19042,20183,21024,21193,21604,22137,22105,21804,21988,22459,22591,22155,22052,22482,22923,22661,22380,22554,22930
7.31,5.03,3.4,32,1,3002.4,25194,23454,23312,22630,22406,23066,23293,22662,22509,23011,23292,22639,22443,22579,23277,22883,22463,22692,23168,22833,22300,22424,23179,22914,22423,22191,22747,22791,22087,22047,22447,22826,22483,22198,22655,23086,22576,22196,22591,23173,22734,22057,22407,22999,22761,22173,22151,22692,22524,22006,21648,21956,21842,20919,20082,19287,17531,13020,4404.4,3730.6,12269,16928,19018,20174,21083,21683,21489,22031,22612,22556,22153,22325,22753,22906,22556,22338,23165,23288,22958,22571,22915
6.27,5.19,1.4,32,1,3002.4,25099,24279,24685,24857,24461,24308,24550,24787,24474,24410,24489,24734,24459,24296,24519,24540,24541,24186,24117,24450,24827,24386,24068,24488,24636,24394,24332,24388,24530,24466,23959,24365,24489,24589,24196,24347,24429,24474,24277,24059,24504,24501,24198,23948,24202,24445,24153,23709,24033,24069,23661,23250,23408,23084,22267,20949,19288,15495,6040.6,6404.5,15488,19882,21572,22294,22749,23434,23729,23671,23822,24214,24522,24106,24062,24343,24430,24456,24144,24554,24513,24904,24314
