pH,Conc(mM),ApproT1(sec),Temp,SatPower(uT),SatTime(ms),100,12,11,10,9,8,7.8,7.6,7.2,7,6.8,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,-0.2,-0.4,-0.6,-0.8,-1,-1.2,-1.4,-1.6,-1.8,-2,-2.3,-2.5,-2.8,-3,-6,-9,-10,-11,-12
6.23,5.19,3.4,32,4,502.42,22045,19670,19877,20232,19896,19507,19525,20072,19762,19527,19343,19801,19790,19367,19261,19639,19595,19446,19349,19621,19821,19392,19036,19210,19566,19330,18999,19164,19465,19262,18866,18844,19263,19269,18673,18748,18919,18834,18387,18382,18569,18646,18284,17917,18137,17917,17489,16793,16483,15779,14547,13120,10848,8440.3,5482.7,3076.3,2407,3318,5686.3,8824,11302,13438,14898,15895,16556,17263,17966,17868,18226,18445,18897,18818,18665,19126,19488,19195,19584,20047,20217,20082,19840
6.42,5.15,3.4,32,4,502.42,25153,22142,21420,22245,22784,22088,21511,21861,22234,21974,21378,21467,21992,22166,21175,21498,21976,21938,21381,21306,21840,21967,21377,20995,21430,21843,21421,20781,21509,21765,21320,20764,20905,21487,21146,20494,20670,20958,20912,20341,20068,20195,20288,19857,19452,19518,19148,18044,17022,15888,14277,11838,8285.2,4700.4,2555.1,2322.6,4076.6,7671.2,11101,13818,15439,16738,18194,18815,19068,19507,20314,20319,20387,20646,21083,21572,21280,20956,21540,21963,21918,21712,22104,22876,22183
6.56,5.18,3.4,32,4,502.42,25620,23117,22243,22095,22600,22715,22245,21893,22426,22314,21954,21605,22031,22417,22203,21593,22060,22179,22032,21634,21655,22212,22284,21708,21596,21980,21928,21547,21381,21650,21770,21518,21049,21490,21622,21264,20954,21029,21317,20848,20488,20494,20566,20290,19732,19541,19408,18651,17415,16129,14504,12068,8658,5046.3,2981.5,2536.6,4290.5,7736.6,11076,13756,15842,17049,18206,18910,19451,19992,20401,20960,21010,20960,21125,21555,21696,21364,21721,22265,22646,22225,22305,22733,22785
6.72,5.13,3.4,32,4,502.42,23740,21508,21508,21262,20977,20941,21012,21057,21161,20331,20723,21132,21049,20468,20701,20677,20950,20507,20366,20653,20644,20448,20620,20795,20803,20444,20365,20488,20486,20210,20058,20566,20454,20099,20093,20229,20165,20036,19658,19577,19984,19805,19023,19237,18936,18764,18077,17377,16771,15527,13612,11307,8285.1,4641,2634.6,2330.5,4501.1,8012.6,11167,13682,15463,16746,17610,18051,18779,19426,19575,19842,19971,20173,20490,20441,20221,20680,20940,20541,21042,21583,21594,20953,21006
6.86,5.1,3.4,32,4,502.42,21990,19641,19784,19519,19295,19243,19583,19244,19295,19155,19172,19275,19044,18991,19282,19088,18959,18967,18984,18894,18923,18645,19082,18904,18979,18729,18873,18904,18614,18415,18664,18765,18709,18521,18481,18723,18813,18422,18465,18381,18330,18215,17989,17749,17837,17571,17232,16807,16234,15336,14182,12739,10510,7607.5,4327.7,2625.8,2506.2,3961.1,7050.6,10056,12458,14249,15240,16244,16769,17463,17624,18031,18184,18419,18569,18677,18971,18954,19147,19054,19386,19832,19654,19644,19710
7.05,5.1,3.4,32,4,502.42,22830,20190,20403,20660,20520,20176,20090,20689,20588,19983,19920,20284,20457,20062,19733,20057,20192,20005,19728,20098,20043,20005,19624,19821,20074,19719,19452,19528,19832,19710,19500,19284,19852,19752,19402,19477,19551,19831,19252,19045,19469,19558,19169,18977,19249,19233,18955,18521,18587,18332,17826,17116,16428,15663,14473,12744,10467,7845.3,4731,2233.9,2608.1,3439.7,7022.4,9784.8,12313,14109,15759,16264,16990,17641,18437,18506,18716,19040,19519,19615,20063,20468,20938,20733,20447
7.14,5.13,3.4,32,4,502.42,25288,22292,21702,22260,22468,22030,21777,22041,22167,22059,21624,21598,22030,21923,21296,21561,21763,21783,21246,21363,21692,21780,21334,21176,21377,21721,21333,20951,21296,21670,21019,20858,21088,21402,21223,20722,20987,21095,21242,20773,20650,20708,20817,20587,20387,20536,20368,19644,19334,18967,18481,17383,16461,15289,13341,10967,7756.2,4545.8,2896.1,2086.5,3798.2,7218.9,10423,12878,14950,16368,17558,18242,18888,19635,19910,20213,20416,20636,21056,21421,21824,21770,22274,22599,22100
7.31,5.03,3.4,32,4,502.42,25739,22976,22183,21998,22734,22706,22184,21873,22347,22663,22023,21576,22063,22427,21868,21430,21815,22237,21863,21565,21601,21983,22068,21359,21242,21680,21726,21160,20934,21476,21535,21036,20907,21134,21558,21146,20704,20782,21113,20991,20386,20642,20938,20719,20342,20172,20553,19923,19067,18697,18465,17620,16375,14782,13120,10669,7590.9,3932.4,2507.5,2538.8,3716.5,7126.1,10285,12966,14835,16347,17458,18415,19061,19566,19837,20512,20751,20721,20966,21602,22533,22062,22175,22711,22851
6.27,5.19,1.4,32,4,502.42,24530,24279,24420,23998,23696,24001,23866,23806,23739,23663,23815,23902,23738,23560,23746,23774,23523,23566,23631,23699,23412,23471,23859,23854,23607,23358,23361,23661,23346,22983,23277,23367,23270,22926,23220,23138,23195,22844,22716,23042,22937,22669,22467,22721,22515,22035,21846,21826,21536,20632,20068,19555,18428,16792,14826,12250,8931.8,5286.5,2646.9,3586.5,5364.1,9076.1,12385,15038,17234,18661,19348,20244,21058,21602,21820,21992,22534,22807,22922,22910,24119,24349,24247,23811,24053
