pH,Conc(mM),ApproT1(sec),Temp,SatPower(uT),SatTime(ms),100,12,11,10,9,8,7.8,7.6,7.2,7,6.8,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,-0.2,-0.4,-0.6,-0.8,-1,-1.2,-1.4,-1.6,-1.8,-2,-2.3,-2.5,-2.8,-3,-6,-9,-10,-11,-12
6.23,5.19,3.4,32,6,6002.4,21672,19304,19371,18926,18683,18717,18606,18211,17869,18181,17863,17645,17613,17700,17471,17227,17313,17417,17234,17119,17096,17177,16868,16770,16947,16658,16549,16594,16542,16246,16025,16304,16086,15653,15390,15589,15463,15212,15032,14902,14561,14175,14116,13840,13375,12935,12398,11631,10432,9164.5,7849.7,6437.3,4800.6,3472.9,2185.1,1387.7,1025,1421.7,2499.6,4006.3,5879.2,7903.9,9452.2,10970,12183,13338,14178,14556,15328,15991,16187,16506,17040,17497,17579,17580,18821,19155,19081,19361,19620
6.42,5.15,3.4,32,6,6002.4,24499,21273,21707,21223,20794,20439,20614,20437,19654,19754,19726,19524,19312,19505,19506,19216,18921,19303,19363,18964,18792,19047,19023,18723,18805,18811,18560,18239,18459,18316,17909,17992,17969,17722,17279,17194,17296,16944,16595,16416,16327,15653,15109,15000,14591,13891,12817,11888,10385,8563.7,6884.2,5122,3441.7,2025,1196.7,1157.8,1676.1,3320.6,5298.7,7239.9,9220.3,11259,12854,14001,14949,16039,16838,17399,17769,18354,18843,18622,19223,19603,19845,19699,21085,21524,21399,21367,21641
6.56,5.18,3.4,32,6,6002.4,25579,21794,21506,21752,21091,20830,20837,20773,20106,19876,19882,19719,19653,19495,19653,19491,19072,19382,19582,19249,19101,19245,19289,19059,18688,18996,18784,18602,18548,18734,18333,18308,18304,18087,17763,17578,17591,17272,16754,16611,16600,16087,15584,15192,14950,14274,13198,12149,10643,9021.3,7154.4,5323.2,3521.4,2144.8,1231.2,1218.3,1752.4,3391.5,5280.5,7408.2,9493,11350,12959,14283,15260,16233,17084,17670,18025,18625,19067,19203,19578,19671,20063,20368,21275,21760,21758,21671,21810
6.72,5.13,3.4,32,6,6002.4,23757,21158,20476,20494,20203,19988,19590,19559,19007,18813,18593,18308,18621,18202,18202,18302,18251,18124,17851,18270,18108,17699,17860,18120,17779,17806,17950,17901,17703,17491,17629,17593,17437,17204,17170,17036,16736,16479,16403,15907,15616,15406,15244,14766,14202,13934,12854,11768,10385,8857.3,7042.4,5026.3,3498.9,2047.4,1150.1,1237.9,1999.2,3616.1,5763,7739.3,9856.3,11547,13005,14289,15170,15989,16757,17119,17734,17798,18145,18583,18860,18971,19237,19564,20355,20535,20463,20988,20849
6.86,5.1,3.4,32,6,6002.4,21908,19363,19218,18955,18963,18460,18265,17805,17682,17308,17062,16764,16644,16639,16517,16559,16552,16410,16284,16313,16257,16012,15905,16054,15901,15809,15734,15839,15929,15713,15748,15652,15700,15628,15686,15570,15191,15240,15040,14899,14610,14415,14349,14102,13703,13463,12583,11777,10656,9451.7,8138.4,6611.1,4891,3221.8,1999.5,1260.2,1111.1,1986.3,3420.3,5147.2,7072.9,8871.5,10770,12108,13268,14206,14722,15547,16131,16392,16676,17037,17169,17680,17618,17990,18851,19036,19313,19363,19204
7.05,5.1,3.4,32,6,6002.4,22273,19880,19770,19503,19258,19310,19171,18865,18568,18655,18233,18027,17946,17842,17679,17288,17437,17247,16998,16761,16890,16898,16612,16548,16527,16577,16349,16414,16213,16046,15917,16010,16052,15976,15871,16033,16013,15738,15745,15807,15803,15586,15495,15659,15405,15282,15001,14529,14009,13282,12573,11526,10587,9527.1,8108.3,6510.2,4680.9,3360.9,2007,1129.3,951.88,1697.3,3003.2,4912.8,6829.9,8806.3,10377,11895,13278,14046,14726,15515,16246,16677,16907,17466,19019,19761,19540,19656,19931
7.14,5.13,3.4,32,6,6002.4,24745,21461,21489,21251,21030,20707,20716,20441,20038,19844,19691,19124,19225,19070,18854,18662,18594,18631,18500,18200,18301,18228,18025,18041,17899,17895,17736,17575,17693,17519,17315,17389,17266,17253,17318,17321,17111,17079,17077,17109,17019,16693,16601,16551,16371,16035,15685,15031,14146,13360,12371,11130,9875.8,8413.4,6692.7,5021.3,3318.9,1933.8,1247.2,1147,1841.6,3195.3,5016.9,7299.7,9226.5,11116,12576,13855,15008,15960,16550,16954,18000,18303,18721,19010,20859,21346,21186,21498,21586
7.31,5.03,3.4,32,6,6002.4,25700,21548,21459,21654,21156,20547,20611,20791,19931,19635,19742,19240,18896,18938,18921,18617,18354,18364,18422,17934,17636,17735,17656,17237,17094,17015,16800,16454,16343,16394,16171,15993,16003,15978,15844,15807,15896,15905,15643,15721,15723,15594,15360,15320,15235,14780,14443,14017,13236,12343,11505,10223,8978.9,7415.1,6020.7,4408.6,3016.7,1923,1339.9,1262.6,1875.9,3016.4,4896.1,6909.1,8698.9,10802,12395,13626,14952,15699,16501,17159,17848,18354,18865,19135,20767,21594,21730,21591,21588
6.27,5.19,1.4,32,6,6002.4,25164,23381,23125,23315,23249,22946,22686,22813,22747,22307,22357,22254,22380,21939,22009,22217,21963,21532,21785,21848,21701,21459,21557,21672,21259,21283,21507,21404,21069,21081,21126,21018,20672,20677,20668,20457,20259,20307,20221,19845,19720,19756,19361,19146,19035,18985,18311,17523,17001,16112,14878,13681,12222,10610,8551.8,6663.6,4994.2,3254.3,2256.4,2414.3,3272.7,4885.5,6967.3,9279.6,11527,13352,14721,16033,17406,17994,18906,19530,19947,20280,20969,21321,22670,23151,23474,23536,23444
6.4,5.18,1.4,32,6,6002.4,23455,22184,22291,22156,22075,21676,21915,21796,21666,21536,21546,21589,21341,21272,21283,21188,21192,21130,21107,21061,20898,20956,20850,20848,20794,20769,20676,20615,20499,20669,20310,20220,20347,20203,20218,20083,19998,19988,19705,19718,19704,19380,19324,19171,19169,18839,18402,17958,17621,16783,16027,15325,14145,12660,11074,9573.3,7432.5,5462.9,3653.5,2296.2,2008.6,2616.6,4284.1,6328.3,8543.7,10849,12548,14173,15272,16606,17407,17855,18653,19171,19772,19847,21713,22240,22402,22210,22294
6.52,5.18,1.4,32,6,6002.4,23717,22645,22377,22299,22287,22063,21792,21843,21842,21640,21533,21411,21671,21448,21413,21305,21308,21270,20982,21065,21080,21061,20896,20880,20736,20700,20711,20709,20783,20482,20646,20527,20298,20378,20396,20051,20103,20143,20146,20059,19721,19843,19654,19522,19394,19272,18822,18628,18135,17728,16930,16229,15039,14082,12830,11308,9416,7542,5425,3534,2330.9,1909,2745.1,4485.1,6636.5,8678.2,11031,12650,14089,15597,16363,17458,18130,18887,19143,19753,21613,22246,22248,22340,22383
6.69,5.17,1.4,32,6,6002.4,25745,23766,23999,23876,23577,23415,23561,23361,23163,23085,23024,22866,22781,22989,22947,22587,22554,22601,22596,22441,22264,22295,22374,22020,21893,22105,21927,21954,21863,21942,21747,21622,21639,21598,21329,21327,21394,21162,21076,21034,20965,20779,20639,20485,20479,20271,19762,19504,18745,18136,17604,16659,15431,14081,12539,10985,8944.4,6937.8,4867.2,3304.9,2256.7,2238.9,3134.8,5002.5,7129.6,9479.3,11504,13557,15157,16410,17422,18417,19159,19825,20635,20904,23212,23838,23819,23897,24042
6.85,5.15,1.4,32,6,6002.4,25703,23894,24290,24267,23646,23605,24005,23631,23252,23261,23371,23087,22657,23056,22878,22498,22550,22697,22610,22143,22278,22353,22151,21993,22104,22060,21964,21867,22018,21886,21605,21578,21692,21448,21248,21342,21393,21264,21075,20981,21077,20845,20744,20650,20552,20095,19862,19381,19036,18060,17488,16530,15270,14179,12619,10747,8607.7,6580.5,4584.3,2988.5,2232,2386.9,3442.9,5381.5,7590.2,9760.8,11937,13697,15335,16740,17667,18575,19506,20072,20720,21067,23531,24074,24113,23941,24260
6.96,5.11,1.4,32,6,6002.4,25332,23824,23808,23645,23560,23518,23291,23215,23135,23001,22863,22652,22722,22508,22502,22398,22200,22086,21950,21768,21784,21635,21767,21696,21380,21458,21402,21503,21270,21229,21361,21233,20982,21134,20960,20885,20693,20992,20783,20576,20647,20486,20444,20270,20118,20036,19588,19279,18620,18116,17366,16457,15303,14297,12620,10924,9001.1,6963.5,4881.7,3305.2,2300.5,2242.5,3203.4,5070.8,7231.8,9563.3,12037,13672,15302,16444,17409,18572,19404,19751,20469,21098,22986,23507,23794,23840,23801
7.12,5.1,1.4,32,6,6002.4,24580,23411,23054,23005,22953,22598,22523,22481,22535,22248,22184,22181,22116,21907,21832,21814,21801,21565,21496,21573,21317,21085,21080,20983,20994,20955,20721,20799,20768,20649,20595,20445,20412,20410,20420,20122,20055,20066,20076,20117,19919,19924,19904,19832,19756,19719,19377,19176,18600,18274,17564,17002,15859,14994,13543,12328,10501,8296,6366.1,4391.7,2857.1,2026.8,2341.6,3789.7,6191.2,8578.9,10658,12665,14498,15966,16791,17848,18619,19384,19997,20414,22249,22888,22957,23136,22955
7.28,4.98,1.4,32,6,6002.4,23428,22094,21938,21977,21653,21714,21566,21534,21449,21219,21147,21102,20963,20955,20733,20833,20833,20474,20467,20524,20309,20285,20216,20146,19992,19793,19791,19624,19472,19312,19262,19058,19024,18947,18845,18587,18464,18540,18407,18347,18329,18419,18238,18159,18004,18030,17757,17671,17285,16883,16128,15743,14751,13694,12597,11177,9553.6,7749.5,5898.9,4030.8,2568.3,1856.9,2075.9,3502.7,5617.4,7725.6,10040,11928,13526,14951,15988,16932,17781,18410,19116,19516,21193,21823,21848,21997,22089
6.28,5.18,0.86,32,6,6002.4,25513,24024,24477,24390,24180,23884,24027,24076,23561,23692,23822,23763,23313,23708,23631,23337,23268,23517,23677,23131,23146,23374,23331,22866,23069,23060,22758,22691,22905,22973,22540,22537,22695,22426,22045,22150,22280,22102,21849,21877,22012,21632,21295,21506,21336,20924,20728,20460,19832,19030,18514,17790,16786,15293,14004,12461,10367,8443.9,6451,4767.4,3763.6,3672.4,4656.9,6300.9,8389.2,10683,12917,14659,16098,17320,18575,19125,19894,20940,21459,21720,23729,24507,24328,24092,24457
6.38,5.19,0.86,32,6,6002.4,26563,24719,24980,24792,24767,24449,24589,24491,24255,24316,24345,24198,24070,23986,24004,23804,23833,23765,23874,23702,23668,23542,23635,23536,23395,23449,23468,23361,23198,23282,23000,23015,22806,22810,22564,22583,22656,22515,22461,22120,22275,21994,22031,21785,21670,21507,21086,20697,20251,19576,18952,18134,17198,16060,14649,12898,11081,9322.9,7030.6,5335,4015.8,3531.9,4258.6,5823.6,7650.7,9945.7,12218,13887,15726,17018,18283,19152,20114,20822,21458,21945,24195,24738,25117,25072,25032
6.54,5.18,0.86,32,6,6002.4,26102,24957,24867,24590,24662,24363,24540,24207,24245,24253,24147,23846,23960,24000,23858,23791,23755,23671,23547,23647,23748,23461,23282,23496,23423,23281,23261,23276,23222,22965,22959,23085,23109,22709,22631,22798,22586,22364,22383,22421,22243,21962,22160,21896,21818,21427,21236,20880,20243,19685,19118,18382,17255,16127,14784,13013,11105,9048.6,6877.8,5045.6,3840.1,3605.6,4382.7,6100.4,8246.9,10727,12802,14597,16228,17564,18700,19341,20338,21005,21513,21931,24106,24655,24688,24779,24978
6.68,5.17,0.86,32,6,6002.4,24868,23733,23594,23415,23319,23195,23249,23192,23163,23045,23186,22955,22932,22937,22911,22718,22711,22833,22580,22392,22522,22404,22357,22348,22397,22301,22313,22204,22104,22167,22019,22084,21998,21877,21839,21872,21919,21609,21525,21562,21466,21322,21120,21168,21048,20938,20690,20414,20020,19435,19026,18392,17417,16476,15291,13951,12334,10266,8043.9,5813.9,4100.9,3065.1,3365.3,4645.8,6904.5,9082.5,11518,13335,15074,16454,17587,18337,19388,20061,20452,21017,22770,23323,23431,23609,23472
6.86,5.06,0.86,32,6,6002.4,23153,22439,22070,21880,21984,21959,21667,21541,21811,21597,21492,21310,21480,21278,21094,21350,21435,21167,20860,20886,21049,20637,20685,20940,20653,20626,20621,20674,20520,20381,20657,20406,20346,20286,20481,20403,20130,20097,20229,20072,19965,19781,20011,19741,19601,19592,19273,18746,18690,18347,17798,16856,16100,15348,14319,12763,11134,9248.6,7172.1,4963.3,3618.4,2942.7,3461.2,5208.3,7356,9529,11732,13339,14700,15946,16683,17696,18348,18866,19285,19928,21608,21671,22007,22245,22127
7.02,5.05,0.86,32,6,6002.4,25147,24069,24264,24067,23915,23677,23878,23645,23472,23355,23285,23387,23028,23159,23047,23045,22892,22750,22767,22667,22627,22609,22554,22422,22308,22265,22162,22006,22064,21960,21752,21620,21538,21522,21384,21354,21444,21164,21333,21199,21236,20943,21027,21062,20858,20564,20318,20119,19486,19040,18662,17693,16789,15600,14494,13053,10885,9045.3,6761.2,4882.9,3746.4,3229.1,4139.5,5657.9,7936,10392,12551,14299,15889,17317,18292,19110,19919,20479,21129,21602,23421,23918,24090,24131,24132
7.13,5,0.86,32,6,6002.4,26965,24974,24971,25042,25326,24385,24407,24639,24584,23999,24157,24258,23994,23674,23914,23932,23648,23395,23803,23654,23096,23137,23502,23289,22750,22995,23072,22738,22581,22756,22611,22282,22069,22272,22051,21739,21961,22028,21888,21511,21578,21632,21384,21302,21383,21110,20735,20401,20189,19518,18566,17824,17042,15772,14194,12502,10711,8644.1,6569.1,4732.7,3894,3648.8,4442.8,6287,8343.6,10947,13069,15167,16558,17936,19071,19964,20824,21155,21942,22259,24277,24858,25372,24964,24923
