pH,Conc(mM),ApproT1(sec),Temp,SatPower(uT),SatTime(ms),100,12,11,10,9,8,7.8,7.6,7.2,7,6.8,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3,2.8,2.6,2.4,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0,-0.2,-0.4,-0.6,-0.8,-1,-1.2,-1.4,-1.6,-1.8,-2,-2.3,-2.5,-2.8,-3,-6,-9,-10,-11,-12
6.23,49.86,0.6,27,0.5,2002.4,17720,17702,17434,17391,17773,17647,17587,17471,17447,17565,17608,17344,17272,17818,17575,17441,17440,17696,17603,17152,17353,17559,17654,17413,17225,17567,17713,17683,17241,17540,17799,17583,17458,17319,17631,17631,17305,17417,17537,17616,17280,17179,17432,17547,17267,17179,17096,17449,17509,17017,16705,16525,14810,10320,12122,15333,16653,17069,17264,17543,17610,17450,17161,17348,17617,17492,17363,17568,17590,17497,17519,17388,17610,17621,17563,17242,17517,17673,17487,17360,17452
6.41,49.6,0.6,27,0.5,2002.4,20041,20145,20167,20349,20237,20218,20096,20074,20114,20003,20081,19978,20182,20294,20048,19936,20069,20165,20193,19737,19927,20216,20020,20026,20301,20143,20329,20217,19885,20254,20171,20169,20101,20022,20207,20182,19992,20084,20182,20170,19867,19986,20139,19966,19842,19828,19857,19913,19561,19493,19057,17796,14196,14256,16043,17692,19463,19964,20201,20295,20160,20224,20085,20219,20265,20096,20149,20298,20133,20158,20005,20227,20171,20127,19961,20205,20241,20218,20106,20082,20257
6.57,49.85,0.6,27,0.5,2002.4,20535,20634,20094,20049,20488,20790,20435,20015,20272,20705,20307,19940,20311,20631,20360,19704,20019,20658,20690,20166,19892,20483,20600,20375,20197,20443,20911,20416,20234,20200,20596,20651,20030,20347,20765,20665,20199,20021,20434,20649,19985,19825,20197,20749,20408,20074,19874,20224,19861,19234,18005,14364,14803,16043,18257,20124,20749,20568,20387,20688,20941,20704,20105,20306,20696,20591,20188,20145,20743,20585,20163,20056,20557,20767,20392,19874,20574,21073,20421,19908,20224
6.71,49.63,0.6,27,0.5,2002.4,19953,20030,21031,20983,20031,19806,20868,21283,20537,19887,20303,21094,20631,19600,20223,20659,20600,19982,20142,20856,21110,20186,19900,20610,21256,20476,19775,20507,21296,20647,19824,20281,20855,20725,20104,20052,20915,21025,20223,20131,20725,21134,20415,20067,20535,21082,20538,19807,19616,20039,18292,13756,14032,16550,18496,20214,20577,21021,21313,20820,20390,20632,21110,20827,20002,20163,20989,21042,20395,19953,20698,21062,20443,20059,20642,21226,20273,20075,20425,21140,20543
6.82,49.63,0.6,27,0.5,2002.4,20362,20633,20378,19722,20042,20632,20552,19938,19719,20459,20757,19930,19494,20124,20764,20068,19643,19996,20324,20215,19368,19813,20637,20635,19743,19692,20448,20354,20011,19789,20478,20580,20242,19549,20057,20653,20236,19768,20018,20568,20557,19778,19774,20556,20709,19933,19822,20200,20507,19793,19246,19328,18072,13045,11706,16982,19718,20263,19948,20162,20694,20673,20098,19832,20321,20806,20065,19926,20213,20881,20375,19687,19935,20832,20561,19896,19833,20533,20804,19990,19704
6.97,49.31,0.6,27,0.5,2002.4,17960,17946,17803,17622,17792,18036,17783,17654,17805,17974,17756,17483,17479,17901,17872,17573,17473,17966,18162,17613,17259,17692,17837,17733,17515,17518,17888,17607,17286,17325,17918,17903,17534,17689,17867,17902,17686,17555,17823,18074,17649,17387,17532,17720,17719,17549,17416,17753,17716,17416,17303,17580,17476,17159,16834,16484,14916,10331,10479,15164,16809,17171,17322,17507,17763,17788,17375,17813,17899,17787,17798,17669,17765,18016,17889,17400,17726,18210,17853,17589,17272
7.14,48.92,0.6,27,0.5,2002.4,22272,22264,21988,22297,22289,22429,22146,21975,22164,22273,22325,22108,22185,22306,22205,22132,22073,22289,22336,22092,22061,22115,22121,22203,22023,21888,22056,21862,21864,21833,22177,22280,22247,22116,22128,22387,22162,21997,22126,22262,22152,22067,22022,22261,22314,21940,22058,22239,22028,21905,21882,21876,21884,21562,21258,20622,18152,10495,13889,18804,20782,21596,21767,22051,22246,22340,22075,22180,22031,22280,22264,22223,22242,22330,22327,22058,22179,22432,22327,21961,22280
7.27,49.88,0.6,27,0.5,2002.4,23526,23370,22987,23061,23553,23619,23099,22956,23383,23434,23040,22931,23358,23394,23422,22854,23190,23391,23313,22820,22862,23444,23279,23056,22744,23111,23278,22878,22755,23135,23532,23212,22836,23186,23516,23209,22954,23103,23577,23430,22994,22837,23271,23299,23225,22767,23103,23365,22867,22566,22676,23247,22771,22237,21697,20872,15045,10737,18187,21582,22194,22793,22845,23094,23515,23247,22924,23203,23450,23352,23002,23195,23453,23349,23181,22713,23636,23696,23028,22876,23249
6.27,48.83,0.43,27,0.5,2002.4,23372,23339,23559,23891,23139,23067,23666,23821,23591,23238,23542,23660,23204,23069,23212,23514,23502,23301,23440,23854,23578,23282,23192,23485,23827,23190,23135,23545,23850,23429,23150,23326,23555,23691,23082,23184,23728,23716,23291,23370,23753,23831,23583,23272,23420,23878,23515,23043,23248,23779,23704,23188,23028,22845,22566,21226,15166,13208,21016,22439,22964,23420,23689,23476,23171,23413,23568,23706,23475,23190,23692,23581,23275,23299,23806,23967,23398,23270,23512,23878,23545
6.39,48.68,0.43,27,0.5,2002.4,22390,22739,22838,22603,22324,22632,22810,22565,22436,22658,22872,22683,22426,22487,22593,22734,22170,22640,22751,22899,22437,22319,22703,22725,22579,22403,22718,22675,22433,22298,22505,22871,22693,22507,22345,22844,22777,22603,22568,22622,23000,22609,22412,22647,22805,22557,22387,22515,22625,22547,22416,22517,22643,22482,21781,21447,21346,17995,12400,16969,21104,21632,21994,22328,22574,22595,22788,22491,22485,22813,22871,22535,22377,22815,22884,22576,22401,22653,23016,22649,22397
